Input,Case1LNoise,Case1HPF(1),Case1Kal(3),Case1HPFKal(13),Case1LPFKal(23),Case1EKF(4),Control
-0.335925893,-0.612554242,0.031947638,-0.138256115,-0.101958414,9.759028736,-0.272990111,1
-0.334209037,-0.611051669,0.037946049,-0.138256115,-0.101958414,9.759028736,-0.272990111,1
-0.332395806,-0.609452445,0.043929746,-0.138256115,-0.101958414,9.759028736,-0.272990111,1
-0.330486724,-0.607757092,0.049897008,-0.138256115,-0.101958414,9.759028736,-0.272990111,1
-0.32848234,-0.605966161,0.055846119,-0.138256115,-0.101958414,9.759028736,-0.272990111,1
-0.326383233,-0.604080229,0.061775369,-0.138256115,-0.101958414,9.759028736,-0.272990111,1
-0.324190007,-0.602099901,0.067683052,-0.138256115,-0.101958414,9.759028736,-0.272990111,1
-0.321903297,-0.600025809,0.07356747,-0.032344323,-0.000811095,9.561379322,-0.304099356,1
-0.31952376,-0.597858613,0.07942693,-0.032344323,-0.000811095,9.561379322,-0.304099356,1
-0.317052083,-0.595599,0.085259748,-0.032344323,-0.000811095,9.561379322,-0.304099356,1
-0.314488979,-0.59324768,0.091064247,-0.032344323,-0.000811095,9.561379322,-0.304099356,1
-0.311835187,-0.590805393,0.096838757,-0.032344323,-0.000811095,9.561379322,-0.304099356,1
-0.309091472,-0.588272905,0.102581619,-0.032344323,-0.000811095,9.561379322,-0.304099356,1
-0.306258626,-0.585651006,0.108291181,-0.032344323,-0.000811095,9.561379322,-0.304099356,1
-0.303337465,-0.582940513,0.1139658,-0.032344323,-0.000811095,9.561379322,-0.304099356,1
-0.300328831,-0.580142268,0.119603847,-0.032344323,-0.000811095,9.561379322,-0.304099356,1
-0.297233593,-0.577257138,0.1252037,-0.032344323,-0.000811095,9.561379322,-0.304099356,1
-0.294052643,-0.574286016,0.130763748,-0.032344323,-0.000811095,9.561379322,-0.304099356,1
-0.290786897,-0.571229819,0.136282394,-0.032344323,-0.000811095,9.561379322,-0.304099356,1
-0.287437299,-0.568089489,0.141758051,-0.032344323,-0.000811095,9.561379322,-0.304099356,1
-0.284004813,-0.56486599,0.147189144,-0.032344323,-0.000811095,9.561379322,-0.304099356,1
-0.28049043,-0.561560313,0.152574113,-0.032344323,-0.000811095,9.561379322,-0.304099356,1
-0.276895162,-0.558173471,0.157911409,-0.032344323,-0.000811095,9.561379322,-0.304099356,1
