Input,Case4_HGNoise,Case4_HPF(1),Case4_LPF(2),Case4_Kal(3),Case4_HPF_Kal(13),Case4_LPF_Kal(23),Case4_EKF(4),Control
0.317039462,0.369528049,0.202053572,0.15554807,0.361104649,0.381411432,-0.045244926,0.505684866,23234
0.314475902,0.38484023,0.276275274,0.161907184,0.361104649,0.381411432,-0.045244926,0.505684866,23234
0.311821657,0.301500668,-0.266893402,0.167779297,0.361104649,0.381411432,-0.045244926,0.505684866,23234
0.309077493,0.2302235,-0.669425491,0.172055925,0.295663913,-0.144008327,0.063405768,0.55791023,23234
0.306244202,0.213860332,-0.696756422,0.175670713,0.295663913,-0.144008327,0.063405768,0.55791023,23234
0.3033226,0.20373012,-0.711511805,0.179781949,0.295663913,-0.144008327,0.063405768,0.55791023,23234
0.300313531,0.292667197,-0.094200912,0.184014231,0.295663913,-0.144008327,0.063405768,0.55791023,23234
0.29721786,0.431516178,0.802151556,0.18929118,0.295663913,-0.144008327,0.063405768,0.55791023,23234
0.294036483,0.36533848,0.30995148,0.196126243,0.295663913,-0.144008327,0.063405768,0.55791023,23234
0.290770315,0.198114115,-0.771661356,0.201449392,0.295663913,-0.144008327,0.063405768,0.55791023,23234
0.287420298,0.155249389,-0.951925809,0.204308734,0.295663913,-0.144008327,0.063405768,0.55791023,23234
0.283987399,0.272911494,-0.104568504,0.20722757,0.295663913,-0.144008327,0.063405768,0.55791023,23234
0.280472608,0.365280865,0.473742633,0.212619082,0.295663913,-0.144008327,0.063405768,0.55791023,23234
0.276876938,0.351786924,0.317662529,0.219310776,0.295663913,-0.144008327,0.063405768,0.55791023,23234
0.273201426,0.307822339,0.010333958,0.225007694,0.295663913,-0.144008327,0.063405768,0.55791023,23234
0.269447131,0.254027706,-0.307045207,0.229392936,0.295663913,-0.144008327,0.063405768,0.55791023,23234
0.265615137,0.18784389,-0.678597724,0.233020773,0.295663913,-0.144008327,0.063405768,0.55791023,23234
0.261706549,0.217411551,-0.420902569,0.236262442,0.295663913,-0.144008327,0.063405768,0.55791023,23234
0.257722493,0.305611595,0.165385496,0.240642567,0.295663913,-0.144008327,0.063405768,0.55791023,23234
0.253664119,0.342050678,0.358472336,0.246470654,0.295663913,-0.144008327,0.063405768,0.55791023,23234
0.249532597,0.323546734,0.203054776,0.252229348,0.295663913,-0.144008327,0.063405768,0.55791023,23234
0.245329117,0.255158244,-0.232262497,0.256976742,0.295663913,-0.144008327,0.063405768,0.55791023,23234
0.241054893,0.170661995,-0.725094202,0.260498207,0.295663913,-0.144008327,0.063405768,0.55791023,23234
0.236711157,0.14535133,-0.809017687,0.263214074,0.220507575,-0.476513213,0.163309982,0.560719032,23234
0.232299162,0.222080039,-0.252465886,0.266244384,0.220507575,-0.476513213,0.163309982,0.560719032,23234
0.227820179,0.325986463,0.416727726,0.270750387,0.220507575,-0.476513213,0.163309982,0.560719032,23234
0.2232755,0.334130913,0.419173616,0.276463125,0.220507575,-0.476513213,0.163309982,0.560719032,23234
0.218666436,0.204177398,-0.443050667,0.281540621,0.220507575,-0.476513213,0.163309982,0.560719032,23234
0.213994316,0.107803491,-0.988865312,0.284135717,0.220507575,-0.476513213,0.163309982,0.560719032,23234
0.209260488,0.088670517,-0.997073593,0.285564914,0.220507575,-0.476513213,0.163309982,0.560719032,23234
0.204466315,0.147510032,-0.530234152,0.287456868,0.220507575,-0.476513213,0.163309982,0.560719032,23234
0.199613182,0.304941498,0.51297127,0.290729488,0.220507575,-0.476513213,0.163309982,0.560719032,23234
0.194702486,0.338770674,0.663926178,0.296293099,0.220507575,-0.476513213,0.163309982,0.560719032,23234
0.189735645,0.216894602,-0.178447221,0.301642772,0.220507575,-0.476513213,0.163309982,0.560719032,23234
0.184714091,0.11599641,-0.780417654,0.304452931,0.220507575,-0.476513213,0.163309982,0.560719032,23234
0.179639271,0.087303864,-0.863946208,0.305824259,0.220507575,-0.476513213,0.163309982,0.560719032,23234
0.174512649,0.12323489,-0.550583221,0.307478146,0.220507575,-0.476513213,0.163309982,0.560719032,23234
0.169335704,0.155475141,-0.31517438,0.310302045,0.220507575,-0.476513213,0.163309982,0.560719032,23234
0.164109928,0.211953983,0.05983544,0.313511303,0.220507575,-0.476513213,0.163309982,0.560719032,23234
0.158836828,0.215746613,0.084493993,0.316939186,0.220507575,-0.476513213,0.163309982,0.560719032,23234
0.153517925,0.1180137,-0.526207018,0.319795269,0.220507575,-0.476513213,0.163309982,0.560719032,23234
0.148154753,0.029530871,-1.016978154,0.321048297,0.220507575,-0.476513213,0.163309982,0.560719032,23234
0.142748858,0.039335954,-0.84821304,0.321493941,0.220507575,-0.476513213,0.163309982,0.560719032,23234
0.137301798,0.137834983,-0.149211232,0.322799707,0.179171272,-0.312862197,0.243054857,0.559643338,23234
0.131815146,0.212102339,0.319418165,0.325832204,0.179171272,-0.312862197,0.243054857,0.559643338,23234
0.126290482,0.244064877,0.491203488,0.329492331,0.179171272,-0.312862197,0.243054857,0.559643338,23234
0.120729401,0.15691406,-0.097118269,0.332951859,0.179171272,-0.312862197,0.243054857,0.559643338,23234
0.115133505,0.064892632,-0.650520504,0.334765555,0.179171272,-0.312862197,0.243054857,0.559643338,23234
0.109504408,0.047416147,-0.686597054,0.335577448,0.179171272,-0.312862197,0.243054857,0.559643338,23234
0.103843735,0.121498669,-0.15612072,0.336864706,0.179171272,-0.312862197,0.243054857,0.559643338,23234
0.098153116,0.207258292,0.385210587,0.339683188,0.179171272,-0.312862197,0.243054857,0.559643338,23234
0.092434193,0.194734351,0.253265808,0.343481863,0.179171272,-0.312862197,0.243054857,0.559643338,23234
0.086688615,0.124722704,-0.206730251,0.346282661,0.179171272,-0.312862197,0.243054857,0.559643338,23234
0.080918039,0.035107855,-0.732073942,0.347519425,0.179171272,-0.312862197,0.243054857,0.559643338,23234
0.075124129,-0.008648054,-0.921791571,0.34761635,0.179171272,-0.312862197,0.243054857,0.559643338,23234
0.069308555,-0.010053007,-0.848891395,0.347759408,0.179171272,-0.312862197,0.243054857,0.559643338,23234
0.063472996,0.079973034,-0.209538907,0.348353096,0.179171272,-0.312862197,0.243054857,0.559643338,23234
0.057619133,0.14324705,0.202446363,0.350194781,0.179171272,-0.312862197,0.243054857,0.559643338,23234
0.051748654,0.095553567,-0.116064479,0.352336007,0.179171272,-0.312862197,0.243054857,0.559643338,23234
0.045863253,0.048892932,-0.373497245,0.353112848,0.179171272,-0.312862197,0.243054857,0.559643338,23234
0.039964627,-0.018058273,-0.742957965,0.353267008,0.179171272,-0.312862197,0.243054857,0.559643338,23234
0.034054476,-0.006493949,-0.595308237,0.353027599,0.179171272,-0.312862197,0.243054857,0.559643338,23234
0.028134505,0.08022276,-0.000525987,0.35361481,0.179171272,-0.312862197,0.243054857,0.559643338,23234
0.022206421,0.130624009,0.300824399,0.355611563,0.15489764,-0.006018887,0.299333212,0.555524947,23234
0.016271933,0.108641177,0.129893623,0.357768561,0.15489764,-0.006018887,0.299333212,0.555524947,23234
0.010332753,-0.038832929,-0.809653976,0.358862628,0.15489764,-0.006018887,0.299333212,0.555524947,23234
0.004390593,-0.124054832,-1.248267968,0.357409171,0.15489764,-0.006018887,0.299333212,0.555524947,23234
-0.001552833,-0.077739593,-0.814921597,0.355146882,0.15489764,-0.006018887,0.299333212,0.555524947,23234
-0.007495811,-0.001650198,-0.261777091,0.354404889,0.15489764,-0.006018887,0.299333212,0.555524947,23234
-0.013436627,0.080574482,0.268495081,0.355114768,0.15489764,-0.006018887,0.299333212,0.555524947,23234
-0.019373569,0.085642259,0.267065978,0.356655748,0.15489764,-0.006018887,0.299333212,0.555524947,23234
-0.025304924,-0.01964131,-0.41895302,0.357512974,0.15489764,-0.006018887,0.299333212,0.555524947,23234
