Input,Case2LGNoise,Case2HPF(1),Case2LPF(2),Case2Kal(3),Case2HPFKal(13),Case2LPFKal(23),Case2EKF(4),Control
0.118063103,0.196486688,0.695378495,-0.311252703,-0.062806268,0.1117419,-0.311404631,-0.135463246,13
0.123640999,0.178416146,0.505708884,-0.308741409,0.058110365,0.309224217,-0.310069648,-0.070136355,13
0.129183242,0.184307255,0.49059472,-0.306130287,0.058110365,0.309224217,-0.310069648,-0.070136355,13
0.134688233,0.171834173,0.358008442,-0.303419954,0.058110365,0.309224217,-0.310069648,-0.070136355,13
0.140154384,0.177649133,0.357415067,-0.300611053,0.058110365,0.309224217,-0.310069648,-0.070136355,13
0.145580119,0.145742268,0.112420206,-0.297704254,0.058110365,0.309224217,-0.310069648,-0.070136355,13
0.150963874,0.151474774,0.13624275,-0.294700253,0.058110365,0.309224217,-0.310069648,-0.070136355,13
0.156304096,0.18413762,0.332197756,-0.291599774,0.058110365,0.309224217,-0.310069648,-0.070136355,13
0.161599245,0.189781461,0.333171619,-0.288403565,0.058110365,0.309224217,-0.310069648,-0.070136355,13
0.166847794,0.202284792,0.37851854,-0.285112401,0.058110365,0.309224217,-0.310069648,-0.070136355,13
0.17204823,0.207833859,0.374208984,-0.281727082,0.058110365,0.309224217,-0.310069648,-0.070136355,13
0.177199053,0.191039698,0.225546854,-0.278248436,0.058110365,0.309224217,-0.310069648,-0.070136355,13
0.182298778,0.19648799,0.236141684,-0.274677312,0.058110365,0.309224217,-0.310069648,-0.070136355,13
0.187345934,0.208852961,0.290505842,-0.271014587,0.058110365,0.309224217,-0.310069648,-0.070136355,13
0.192339066,0.214194596,0.293852775,-0.267261163,0.058110365,0.309224217,-0.310069648,-0.070136355,13
0.197276733,0.243258949,0.450625485,-0.263417965,0.058110365,0.309224217,-0.310069648,-0.070136355,13
0.202157513,0.248488167,0.437031991,-0.259485941,0.058110365,0.309224217,-0.310069648,-0.070136355,13
0.206979997,0.2897908,0.65862925,-0.255466066,0.058110365,0.309224217,-0.310069648,-0.070136355,13
0.211742795,0.29490197,0.623201327,-0.251359337,0.058110365,0.309224217,-0.310069648,-0.070136355,13
0.216444533,0.173394139,-0.229228655,-0.247166775,0.058110365,0.309224217,-0.310069648,-0.070136355,13
0.221083856,0.178381765,-0.175314118,-0.242889423,0.058110365,0.309224217,-0.310069648,-0.070136355,13
0.225659426,0.225873135,0.14861708,-0.238528347,0.14204482,0.228869842,-0.274276366,-0.017130592,13
0.230169924,0.230731866,0.16339456,-0.234084636,0.14204482,0.228869842,-0.274276366,-0.017130592,13
0.234614048,0.305753419,0.631419789,-0.229559401,0.14204482,0.228869842,-0.274276366,-0.017130592,13
0.238990517,0.310478051,0.596376949,-0.224953775,0.14204482,0.228869842,-0.274276366,-0.017130592,13
0.243298069,0.298026422,0.453594001,-0.220268912,0.14204482,0.228869842,-0.274276366,-0.017130592,13
0.247535463,0.302611906,0.435741967,-0.215505988,0.14204482,0.228869842,-0.274276366,-0.017130592,13
0.251701475,0.280151062,0.24443819,-0.210666198,0.14204482,0.228869842,-0.274276366,-0.017130592,13
0.255794906,0.284592509,0.246926365,-0.20575076,0.14204482,0.228869842,-0.274276366,-0.017130592,13
0.259814573,0.310639012,0.389209036,-0.200760911,0.14204482,0.228869842,-0.274276366,-0.017130592,13
0.263759319,0.314931699,0.376091076,-0.195697906,0.14204482,0.228869842,-0.274276366,-0.017130592,13
0.267628005,0.27512921,0.078548922,-0.190563022,0.14204482,0.228869842,-0.274276366,-0.017130592,13
0.271419517,0.279268586,0.096015078,-0.185357553,0.14204482,0.228869842,-0.274276366,-0.017130592,13
0.27513276,0.28194926,0.102281027,-0.180082815,0.14204482,0.228869842,-0.274276366,-0.017130592,13
0.278766664,0.285930952,0.116369498,-0.174740138,0.14204482,0.228869842,-0.274276366,-0.017130592,13
0.282320181,0.33217999,0.402989773,-0.169330873,0.14204482,0.228869842,-0.274276366,-0.017130592,13
0.285792287,0.335999804,0.385566545,-0.163856386,0.14204482,0.228869842,-0.274276366,-0.017130592,13
0.289181979,0.377634526,0.61501744,-0.158318063,0.14204482,0.228869842,-0.274276366,-0.017130592,13
0.292488281,0.381288456,0.575057463,-0.152717305,0.14204482,0.228869842,-0.274276366,-0.017130592,13
0.29571024,0.360613598,0.381506041,-0.147055529,0.14204482,0.228869842,-0.274276366,-0.017130592,13
0.298846925,0.364097829,0.364200241,-0.141334169,0.14204482,0.228869842,-0.274276366,-0.017130592,13
0.301897433,0.32774181,0.090474826,-0.135554673,0.234907999,0.159661391,-0.204904551,0.037705862,13
0.304860884,0.331052723,0.101638211,-0.129718507,0.234907999,0.159661391,-0.204904551,0.037705862,13
0.307736424,0.378326205,0.396619512,-0.123827148,0.234907999,0.159661391,-0.204904551,0.037705862,13
0.310523222,0.38146038,0.375628237,-0.117882089,0.234907999,0.159661391,-0.204904551,0.037705862,13
0.313220476,0.348663935,0.123930795,-0.111884837,0.234907999,0.159661391,-0.204904551,0.037705862,13
0.315827408,0.351618158,0.129506496,-0.105836912,0.234907999,0.159661391,-0.204904551,0.037705862,13
0.318343266,0.33936066,0.03595966,-0.099739848,0.234907999,0.159661391,-0.204904551,0.037705862,13
0.320767324,0.342131921,0.049338272,-0.09359519,0.234907999,0.159661391,-0.204904551,0.037705862,13
0.323098883,0.35370324,0.118423299,-0.087404494,0.234907999,0.159661391,-0.204904551,0.037705862,13
0.325337272,0.356288743,0.122291509,-0.081169332,0.234907999,0.159661391,-0.204904551,0.037705862,13
0.327481845,0.353471843,0.090785574,-0.074891281,0.234907999,0.159661391,-0.204904551,0.037705862,13
0.329531982,0.355869005,0.096300859,-0.068571935,0.234907999,0.159661391,-0.204904551,0.037705862,13
0.331487094,0.370939329,0.183423001,-0.062212893,0.234907999,0.159661391,-0.204904551,0.037705862,13
0.333346616,0.373145783,0.178365016,-0.055815767,0.234907999,0.159661391,-0.204904551,0.037705862,13
0.335110012,0.399646457,0.331303328,-0.049382177,0.234907999,0.159661391,-0.204904551,0.037705862,13
0.336776773,0.401660057,0.310052708,-0.042913752,0.234907999,0.159661391,-0.204904551,0.037705862,13
0.338346419,0.352155624,-0.042897226,-0.03641213,0.234907999,0.159661391,-0.204904551,0.037705862,13
0.339818498,0.353974447,-0.027370287,-0.029878956,0.234907999,0.159661391,-0.204904551,0.037705862,13
0.341192584,0.400457645,0.276083547,-0.023315881,0.234907999,0.159661391,-0.204904551,0.037705862,13
0.342468282,0.402079991,0.258031913,-0.016724568,0.234907999,0.159661391,-0.204904551,0.037705862,13
0.343645223,0.428313917,0.401352905,-0.01010668,0.331614781,0.280511926,-0.107501765,0.094176733,13
0.344723069,0.429738314,0.369371949,-0.003463891,0.331614781,0.280511926,-0.107501765,0.094176733,13
0.345701508,0.399977886,0.138560922,0.003202122,0.331614781,0.280511926,-0.107501765,0.094176733,13
0.346580259,0.401203089,0.132024392,0.009889676,0.331614781,0.280511926,-0.107501765,0.094176733,13
0.347359067,0.419820432,0.238903124,0.016597085,0.331614781,0.280511926,-0.107501765,0.094176733,13
0.348037709,0.420845426,0.220953064,0.023322656,0.331614781,0.280511926,-0.107501765,0.094176733,13
0.348615988,0.39787724,0.049358419,0.030064696,0.331614781,0.280511926,-0.107501765,0.094176733,13
0.349093738,0.398701241,0.04940843,0.036821506,0.331614781,0.280511926,-0.107501765,0.094176733,13
0.349470821,0.464912375,0.473261086,0.043591386,0.331614781,0.280511926,-0.107501765,0.094176733,13
0.349747128,0.465534831,0.429053678,0.050372633,0.331614781,0.280511926,-0.107501765,0.094176733,13
0.34992258,0.431450413,0.164431072,0.057163544,0.331614781,0.280511926,-0.107501765,0.094176733,13
0.349997127,0.431871003,0.150323744,0.063962413,0.331614781,0.280511926,-0.107501765,0.094176733,13
0.349970745,0.345598782,-0.424174243,0.070767534,0.331614781,0.280511926,-0.107501765,0.094176733,13
0.349843444,0.345817419,-0.379789758,0.077577202,0.331614781,0.280511926,-0.107501765,0.094176733,13
0.34961526,0.404408417,0.038435545,0.084389711,0.331614781,0.280511926,-0.107501765,0.094176733,13
0.349286259,0.404425247,0.034632929,0.091203356,0.331614781,0.280511926,-0.107501765,0.094176733,13
0.348856535,0.346065728,-0.347087161,0.098016434,0.331614781,0.280511926,-0.107501765,0.094176733,13
0.348326212,0.345881128,-0.31300404,0.104827244,0.331614781,0.280511926,-0.107501765,0.094176733,13
0.347695444,0.43527995,0.298244044,0.111634085,0.331614781,0.280511926,-0.107501765,0.094176733,13
0.346964412,0.434894531,0.265603146,0.118435263,0.331614781,0.280511926,-0.107501765,0.094176733,13
0.346133328,0.414373058,0.105806479,0.125229083,0.372994328,0.193158339,0.008864809,0.137043964,13
0.34520243,0.413787661,0.091465514,0.132013856,0.372994328,0.193158339,0.008864809,0.137043964,13
0.344171987,0.420844088,0.128139917,0.138787899,0.372994328,0.193158339,0.008864809,0.137043964,13
0.343042297,0.420059787,0.11031001,0.145549529,0.372994328,0.193158339,0.008864809,0.137043964,13
0.341813685,0.426601764,0.141804285,0.152297074,0.372994328,0.193158339,0.008864809,0.137043964,13
0.340486505,0.42561986,0.121373198,0.159028862,0.372994328,0.193158339,0.008864809,0.137043964,13
0.33906114,0.452310482,0.28239406,0.165743232,0.372994328,0.193158339,0.008864809,0.137043964,13
0.337538002,0.451132503,0.246490508,0.172438527,0.372994328,0.193158339,0.008864809,0.137043964,13
0.335917528,0.384320427,-0.211111424,0.179113098,0.372994328,0.193158339,0.008864809,0.137043964,13
0.334200188,0.38294813,-0.198127148,0.185765303,0.372994328,0.193158339,0.008864809,0.137043964,13
0.332386475,0.387254891,-0.149622262,0.19239351,0.372994328,0.193158339,0.008864809,0.137043964,13
0.330476913,0.385690254,-0.144060165,0.198996093,0.372994328,0.193158339,0.008864809,0.137043964,13
0.328472053,0.407848011,0.014714258,0.205571436,0.372994328,0.193158339,0.008864809,0.137043964,13
0.326372473,0.406093236,0.002430514,0.212117935,0.372994328,0.193158339,0.008864809,0.137043964,13
0.324178777,0.415695666,0.065030957,0.218633992,0.372994328,0.193158339,0.008864809,0.137043964,13
0.321891599,0.413753173,0.046487258,0.225118022,0.372994328,0.193158339,0.008864809,0.137043964,13
0.319511599,0.345523679,-0.399749509,0.23156845,0.372994328,0.193158339,0.008864809,0.137043964,13
0.317039462,0.343396105,-0.372263665,0.237983713,0.372994328,0.193158339,0.008864809,0.137043964,13
0.314475902,0.359054232,-0.232267359,0.244362259,0.372994328,0.193158339,0.008864809,0.137043964,13
0.311821657,0.356744426,-0.222897966,0.250702548,0.372994328,0.193158339,0.008864809,0.137043964,13
0.309077493,0.372999114,-0.094132755,0.257003055,0.372996721,0.049512437,0.132934239,0.166722606,13
0.306244202,0.370510137,-0.099882742,0.263262265,0.372996721,0.049512437,0.132934239,0.166722606,13
0.3033226,0.288157142,-0.622618277,0.269478679,0.372996721,0.049512437,0.132934239,0.166722606,13
0.300313531,0.28549226,-0.575817361,0.275650811,0.372996721,0.049512437,0.132934239,0.166722606,13
0.29721786,0.397894966,0.212016188,0.281777189,0.372996721,0.049512437,0.132934239,0.166722606,13
0.294036483,0.395057648,0.173056669,0.287856357,0.372996721,0.049512437,0.132934239,0.166722606,13
0.290770315,0.32304179,-0.310266808,0.293886873,0.372996721,0.049512437,0.132934239,0.166722606,13
0.287420298,0.320035705,-0.297260994,0.299867312,0.372996721,0.049512437,0.132934239,0.166722606,13
0.283987399,0.385876939,0.160652261,0.305796265,0.372996721,0.049512437,0.132934239,0.166722606,13
0.280472608,0.382705948,0.12485464,0.311672338,0.372996721,0.049512437,0.132934239,0.166722606,13
0.276876938,0.318107609,-0.305393643,0.317494155,0.372996721,0.049512437,0.132934239,0.166722606,13
0.273201426,0.314775765,-0.294884345,0.323260358,0.372996721,0.049512437,0.132934239,0.166722606,13
0.269447131,0.356309425,0.005358223,0.328969605,0.372996721,0.049512437,0.132934239,0.166722606,13
0.265615137,0.352820966,-0.0166308,0.334620574,0.372996721,0.049512437,0.132934239,0.166722606,13
0.261706549,0.35512507,0.001178998,0.34021196,0.372996721,0.049512437,0.132934239,0.166722606,13
0.257722493,0.351484415,-0.021321225,0.345742477,0.372996721,0.049512437,0.132934239,0.166722606,13
0.253664119,0.316259292,-0.246212045,0.351210859,0.372996721,0.049512437,0.132934239,0.166722606,13
0.249532597,0.312471034,-0.244513514,0.35661586,0.372996721,0.049512437,0.132934239,0.166722606,13
0.245329117,0.331964184,-0.092076377,0.361956251,0.372996721,0.049512437,0.132934239,0.166722606,13
0.241054893,0.328033087,-0.106897695,0.367230828,0.372996721,0.049512437,0.132934239,0.166722606,13
0.236711157,0.302215325,-0.262039024,0.372438403,0.337606001,-0.10626339,0.252686395,0.182920554,13
0.232299162,0.298146318,-0.260459625,0.377577813,0.337606001,-0.10626339,0.252686395,0.182920554,13
0.227820179,0.315564795,-0.119757609,0.382647912,0.337606001,-0.10626339,0.252686395,0.182920554,13
0.2232755,0.311362965,-0.133433493,0.38764758,0.337606001,-0.10626339,0.252686395,0.182920554,13
0.218666436,0.254871161,-0.484591186,0.392575716,0.337606001,-0.10626339,0.252686395,0.182920554,13
0.213994316,0.250541748,-0.462026902,0.397431242,0.337606001,-0.10626339,0.252686395,0.182920554,13
0.209260488,0.257725848,-0.36711266,0.402213104,0.337606001,-0.10626339,0.252686395,0.182920554,13
0.204466315,0.25327424,-0.357221273,0.406920269,0.337606001,-0.10626339,0.252686395,0.182920554,13
0.199613182,0.316310903,0.089077635,0.411551729,0.337606001,-0.10626339,0.252686395,0.182920554,13
0.194702486,0.311742628,0.051956828,0.416106497,0.337606001,-0.10626339,0.252686395,0.182920554,13
0.189735645,0.243083715,-0.396749397,0.420583612,0.337606001,-0.10626339,0.252686395,0.182920554,13
0.184714091,0.238404435,-0.385249426,0.424982136,0.337606001,-0.10626339,0.252686395,0.182920554,13
0.179639271,0.260784014,-0.199530101,0.429301156,0.337606001,-0.10626339,0.252686395,0.182920554,13
0.174512649,0.255999519,-0.20869093,0.433539784,0.337606001,-0.10626339,0.252686395,0.182920554,13
0.169335704,0.193484817,-0.591054623,0.437697154,0.337606001,-0.10626339,0.252686395,0.182920554,13
0.164109928,0.18860102,-0.561092788,0.44177243,0.337606001,-0.10626339,0.252686395,0.182920554,13
0.158836828,0.221154268,-0.291526115,0.445764796,0.337606001,-0.10626339,0.252686395,0.182920554,13
0.153517925,0.216177194,-0.292534285,0.449673465,0.337606001,-0.10626339,0.252686395,0.182920554,13
0.148154753,0.199480411,-0.369380655,0.453497675,0.337606001,-0.10626339,0.252686395,0.182920554,13
0.142748858,0.194416194,-0.363023398,0.45723669,0.337606001,-0.10626339,0.252686395,0.182920554,13
0.137301798,0.205375479,-0.253449082,0.4608898,0.27149073,-0.179856247,0.356788113,0.18549592,13
0.131815146,0.200230353,-0.259353958,0.464456321,0.27149073,-0.179856247,0.356788113,0.18549592,13
0.126290482,0.234233136,-0.010929154,0.467935597,0.27149073,-0.179856247,0.356788113,0.18549592,13
0.120729401,0.229013427,-0.041903763,0.471326997,0.27149073,-0.179856247,0.356788113,0.18549592,13
0.115133505,0.223800741,-0.069677703,0.474629919,0.27149073,-0.179856247,0.356788113,0.18549592,13
0.109504408,0.218512862,-0.095109185,0.477843787,0.27149073,-0.179856247,0.356788113,0.18549592,13
0.103843735,0.219271416,-0.078762194,0.480968052,0.27149073,-0.179856247,0.356788113,0.18549592,13
0.098153116,0.213921858,-0.103650677,0.484002194,0.27149073,-0.179856247,0.356788113,0.18549592,13
0.092434193,0.176582452,-0.333330026,0.486945718,0.27149073,-0.179856247,0.356788113,0.18549592,13
0.086688615,0.171177777,-0.332722941,0.489798159,0.27149073,-0.179856247,0.356788113,0.18549592,13
0.080918039,0.176506408,-0.262606417,0.49255908,0.27149073,-0.179856247,0.356788113,0.18549592,13
0.075124129,0.171053242,-0.269474391,0.495228071,0.27149073,-0.179856247,0.356788113,0.18549592,13
0.069308555,0.116408205,-0.594450526,0.497804751,0.27149073,-0.179856247,0.356788113,0.18549592,13
0.063472996,0.110913228,-0.567898961,0.500288766,0.27149073,-0.179856247,0.356788113,0.18549592,13
0.057619133,0.124520005,-0.420237198,0.502679792,0.27149073,-0.179856247,0.356788113,0.18549592,13
0.051748654,0.118989948,-0.41158065,0.504977531,0.27149073,-0.179856247,0.356788113,0.18549592,13
0.045863253,0.167871525,-0.051155668,0.507181718,0.27149073,-0.179856247,0.356788113,0.18549592,13
0.039964627,0.162313156,-0.080128216,0.509292111,0.27149073,-0.179856247,0.356788113,0.18549592,13
0.034054476,0.144989479,-0.182407538,0.511308502,0.27149073,-0.179856247,0.356788113,0.18549592,13
0.028134505,0.139409601,-0.19819235,0.513230707,0.27149073,-0.179856247,0.356788113,0.18549592,13
0.022206421,0.119275413,-0.306698924,0.515058575,0.195383069,-0.243277588,0.435923347,0.178154285,13
0.016271933,0.113680852,-0.309960406,0.516791982,0.195383069,-0.243277588,0.435923347,0.178154285,13
0.010332753,0.054763951,-0.658471296,0.518430831,0.195383069,-0.243277588,0.435923347,0.178154285,13
0.004390593,0.049161551,-0.626082074,0.519975057,0.195383069,-0.243277588,0.435923347,0.178154285,13
-0.001552833,0.09326916,-0.274808668,0.521424623,0.195383069,-0.243277588,0.435923347,0.178154285,13
-0.007495811,0.087665772,-0.281360323,0.52277952,0.195383069,-0.243277588,0.435923347,0.178154285,13
-0.013436627,0.084132702,-0.273829979,0.524039769,0.195383069,-0.243277588,0.435923347,0.178154285,13
-0.019373569,0.07853518,-0.280444711,0.52520542,0.195383069,-0.243277588,0.435923347,0.178154285,13
-0.025304924,0.047796452,-0.449330074,0.52627655,0.195383069,-0.243277588,0.435923347,0.178154285,13
-0.031228982,0.042211643,-0.438056318,0.527253268,0.195383069,-0.243277588,0.435923347,0.178154285,13
-0.037144034,0.058691159,-0.284930646,0.528135709,0.195383069,-0.243277588,0.435923347,0.178154285,13
-0.294035713,0.053125894,-0.290220228,0.528924039,0.195383069,-0.243277588,0.435923347,0.178154285,13
-0.290769525,0.119470354,0.171069884,0.529618452,0.195383069,-0.243277588,0.435923347,0.178154285,13
-0.287419489,0.11393144,0.119666435,0.530219169,0.195383069,-0.243277588,0.435923347,0.178154285,13
-0.28398657,0.012789639,-0.546127957,0.530726444,0.195383069,-0.243277588,0.435923347,0.178154285,13
-0.280471759,0.007283856,-0.524544646,0.531140554,0.195383069,-0.243277588,0.435923347,0.178154285,13
-0.27687607,-0.034664253,-0.741340674,0.531461809,0.195383069,-0.243277588,0.435923347,0.178154285,13
-0.273200539,-0.040130166,-0.699701476,0.531690545,0.195383069,-0.243277588,0.435923347,0.178154285,13
