Sensor_A,Control
0.003884,10
0.0050595,10
0.006235,10
0.0049465,10
0.003658,10
0.0023695,10
0.001081,10
-0.0002075,10
-0.001496,10
-0.0027845,10
-0.004073,10
-0.0053615,10
-0.00665,10
-0.0036223,10
-0.0005946,10
0.0024331,10
0.0054608,10
0.0084885,10
0.0115162,10
0.0145439,10
0.0175716,10
0.0205993,10
0.023627,10
0.063644,10
0.103661,10
0.143678,10
0.183695,10
0.223712,10
0.263729,10
0.303746,10
0.343763,10
0.38378,10
0.423797,10
0.4033939,10
0.3829908,10
0.3625877,10
0.3421846,10
0.3217815,10
0.3013784,10
0.2809753,10
0.2605722,10
0.2401691,10
0.219766,10
0.2240012,10
0.2282364,10
0.2324716,10
0.2367068,10
0.240942,10
0.2451772,10
0.2494124,10
0.2536476,10
0.2578828,10
0.262118,10
0.25558,10
0.249042,10
0.242504,10
0.235966,10
0.229428,10
0.22289,10
0.216352,10
0.209814,10
0.203276,10
0.196738,10
0.1763512,10
0.1559644,10
0.1355776,10
0.1151908,10
0.094804,10
0.0744172,10
0.0540304,10
0.0336436,10
0.0132568,10
-0.00713,10
0.0216789,10
0.0504878,10
0.0792967,10
0.1081056,10
0.1369145,10
0.1657234,10
0.1945323,10
0.2233412,10
0.2521501,10
0.280959,10
0.2644047,10
0.2478504,10
0.2312961,10
0.2147418,10
0.1981875,10
0.1816332,10
0.1650789,10
0.1485246,10
0.1319703,10
0.115416,10
0.1294743,10
0.1435326,10
0.1575909,10
0.1716492,10
0.1857075,10
0.1997658,10
0.2138241,10
0.2278824,10
0.2419407,10
0.255999,10
0.2530842,10
0.2501694,10
0.2472546,10
0.2443398,10
0.241425,10
0.2385102,10
0.2355954,10
0.2326806,10
0.2297658,10
0.226851,10
0.2079618,10
0.1890726,10
0.1701834,10
0.1512942,10
0.132405,10
0.1135158,10
0.0946266,10
0.0757374,10
0.0568482,10
0.037959,10
0.0551735,10
0.072388,10
0.0896025,10
0.106817,10
0.1240315,10
0.141246,10
0.1584605,10
0.175675,10
0.1928895,10
0.210104,10
0.1942261,10
0.1783482,10
0.1624703,10
0.1465924,10
0.1307145,10
0.1148366,10
0.0989587,10
0.0830808,10
0.0672029,10
0.051325,10
0.0374435,10
0.023562,10
0.0096805,10
-0.004201,10
-0.0180825,10
-0.031964,10
-0.0458455,10
-0.059727,10
-0.0736085,10
-0.08749,10
-0.079937,10
-0.072384,10
-0.064831,10
-0.057278,10
-0.049725,10
-0.042172,10
-0.034619,10
-0.027066,10
-0.019513,10
-0.01196,10
-0.01903,10
-0.0261,10
-0.03317,10
-0.04024,10
-0.04731,10
-0.05438,10
-0.06145,10
-0.06852,10
-0.07559,10
-0.08266,10
-0.0742536,10
-0.0658472,10
-0.0574408,10
-0.0490344,10
-0.040628,10
-0.0322216,10
-0.0238152,10
-0.0154088,10
-0.0070024,10
0.001404,10
0.0021609,10
0.0029178,10
0.0036747,10
0.0044316,10
0.0051885,10
0.0059454,10
0.0067023,10
0.0074592,10
0.0082161,10
0.008973,10
0.0066537,10
0.0043344,10
0.0020151,10
-0.0003042,10
-0.0026235,10
-0.0049428,10
-0.0072621,10
-0.0095814,10
-0.0119007,10
-0.01422,10
-0.02831,10
-0.0424,10
-0.05649,10
-0.07058,10
-0.08467,10
-0.09876,10
-0.11285,10
-0.12694,10
-0.14103,10
-0.15512,10
-0.164331,10
-0.173542,10
-0.182753,10
-0.191964,10
-0.201175,10
-0.210386,10
-0.219597,10
-0.228808,10
-0.238019,10
-0.24723,10
-0.260032,10
-0.272834,10
-0.285636,10
-0.298438,10
-0.31124,10
-0.324042,10
-0.336844,10
-0.349646,10
-0.362448,10
-0.37525,10
-0.344912,10
-0.314574,10
-0.284236,10
-0.253898,10
-0.22356,10
-0.193222,10
-0.162884,10
-0.132546,10
-0.102208,10
-0.07187,10
-0.079873,10
-0.087876,10
-0.095879,10
-0.103882,10
-0.111885,10
-0.119888,10
-0.127891,10
-0.135894,10
-0.143897,10
-0.1519,10
-0.1481,10
-0.1443,10
-0.1405,10
-0.1367,10
-0.1329,10
-0.1291,10
-0.1253,10
-0.1215,10
-0.1177,10
-0.1139,10
-0.1015805,10
-0.089261,10
-0.0769415,10
-0.064622,10
-0.0523025,10
-0.039983,10
-0.0276635,10
-0.015344,10
-0.0030245,10
0.009295,10
-0.0275495,10
-0.064394,10
-0.1012385,10
-0.138083,10
-0.1749275,10
-0.211772,10
-0.2486165,10
-0.285461,10
-0.3223055,10
-0.35915,10
-0.344061,10
-0.328972,10
-0.313883,10
-0.298794,10
-0.283705,10
-0.268616,10
-0.253527,10
-0.238438,10
-0.223349,10
-0.20826,10
-0.218486,10
-0.228712,10
-0.238938,10
-0.249164,10
-0.25939,10
-0.269616,10
-0.279842,10
-0.290068,10
-0.300294,10
-0.31052,10
-0.305028,10
-0.299536,10
-0.294044,10
-0.288552,10
-0.28306,10
-0.277568,10
-0.272076,10
-0.266584,10
-0.261092,10
-0.2556,10
-0.237227,10
-0.218854,10
-0.200481,10
-0.182108,10
-0.163735,10
-0.145362,10
-0.126989,10
-0.108616,10
-0.090243,10
-0.07187,10
-0.08881,10
-0.10575,10
-0.12269,10
-0.13963,10
-0.15657,10
-0.17351,10
-0.19045,10
-0.20739,10
-0.22433,10
-0.24127,10
-0.225988,10
-0.210706,10
-0.195424,10
-0.180142,10
-0.16486,10
-0.149578,10
