Input,LGNoise,HPF(1),LPF(2),Kal(3),HPFKal(13),LPFKal(23),EKF(4),Control
-0.069307165,-0.05286322,0.34077625,-0.179084863,-0.242226227,-0.282852811,-0.191497952,-0.191497952,1
-0.063471601,-0.046678051,0.344210264,-0.179084863,-0.242226227,-0.282852811,-0.191497952,-0.191497952,1
-0.057617733,-0.040474595,0.347408085,-0.179084863,-0.242226227,-0.282852811,-0.191497952,-0.191497952,1
-0.051747251,-0.034254542,0.350383307,-0.179084863,-0.242226227,-0.282852811,-0.191497952,-0.191497952,1
-0.045861847,-0.028019584,0.353148112,-0.179084863,-0.242226227,-0.282852811,-0.191497952,-0.191497952,1
-0.039963217,-0.021771418,0.355713419,-0.179084863,-0.242226227,-0.282852811,-0.191497952,-0.191497952,1
-0.034053064,-0.015511747,0.358089018,-0.179084863,-0.242226227,-0.282852811,-0.191497952,-0.191497952,1
-0.028133091,-0.009242275,0.360283683,-0.179084863,-0.242226227,-0.282852811,-0.191497952,-0.191497952,1
-0.022205005,-0.002964708,0.362305281,-0.179084863,-0.242226227,-0.282852811,-0.191497952,-0.191497952,1
-0.016270516,0.003319242,0.364160866,-0.179084863,-0.242226227,-0.282852811,-0.191497952,-0.191497952,1
-0.010331335,0.009607864,0.365856765,-0.179084863,-0.242226227,-0.282852811,-0.191497952,-0.191497952,1
-0.004389174,0.015899446,0.367398655,-0.179084863,-0.242226227,-0.282852811,-0.191497952,-0.191497952,1
0.001554251,0.022192273,0.368791631,-0.179084863,-0.242226227,-0.282852811,-0.191497952,-0.191497952,1
0.007497229,0.028484631,0.370040268,0.098265885,0.1117419,-0.311404631,-0.135879899,-0.135879899,1
0.013438045,0.034774807,0.371148681,0.098265885,0.1117419,-0.311404631,-0.135879899,-0.135879899,1
0.019374985,0.041061086,0.372120566,0.098265885,0.1117419,-0.311404631,-0.135879899,-0.135879899,1
0.025306339,0.047341756,0.372959256,0.098265885,0.1117419,-0.311404631,-0.135879899,-0.135879899,1
0.031230395,0.053615106,0.373667752,0.098265885,0.1117419,-0.311404631,-0.135879899,-0.135879899,1
0.037145445,0.059879429,0.374248764,0.098265885,0.1117419,-0.311404631,-0.135879899,-0.135879899,1
0.043049784,0.066133017,0.374704746,0.098265885,0.1117419,-0.311404631,-0.135879899,-0.135879899,1
0.048941708,0.072374168,0.375037917,0.098265885,0.1117419,-0.311404631,-0.135879899,-0.135879899,1
0.05481952,0.078601182,0.375250297,0.098265885,0.1117419,-0.311404631,-0.135879899,-0.135879899,1
0.060681523,0.084812365,0.375343725,0.098265885,0.1117419,-0.311404631,-0.135879899,-0.135879899,1
0.066526028,0.091006025,0.375319879,0.098265885,0.1117419,-0.311404631,-0.135879899,-0.135879899,1
0.072351349,0.097180476,0.375180302,0.098265885,0.1117419,-0.311404631,-0.135879899,-0.135879899,1
0.078155806,0.103334039,0.37492641,0.098265885,0.1117419,-0.311404631,-0.135879899,-0.135879899,1
0.083937726,0.109465039,0.374559516,0.098265885,0.1117419,-0.311404631,-0.135879899,-0.135879899,1
0.089695441,0.115571809,0.374080838,0.098265885,0.1117419,-0.311404631,-0.135879899,-0.135879899,1
0.095427291,0.121652688,0.373491513,0.098265885,0.1117419,-0.311404631,-0.135879899,-0.135879899,1
0.101131622,0.127706023,0.372792609,0.098265885,0.1117419,-0.311404631,-0.135879899,-0.135879899,1
0.106806791,0.133730168,0.371985135,0.098265885,0.1117419,-0.311404631,-0.135879899,-0.135879899,1
0.112451161,0.139723487,0.371070048,0.098265885,0.1117419,-0.311404631,-0.135879899,-0.135879899,1
0.118063103,0.145684351,0.370048264,0.098265885,0.1117419,-0.311404631,-0.135879899,-0.135879899,1
0.123640999,0.151611142,0.368920662,0.233935966,0.309224217,-0.310069648,-0.076045146,-0.076045146,1
0.129183242,0.157502252,0.367688093,0.233935966,0.309224217,-0.310069648,-0.076045146,-0.076045146,1
0.134688233,0.16335608,0.366351385,0.233935966,0.309224217,-0.310069648,-0.076045146,-0.076045146,1
